;Sa;Sq;Sp;Sv;Sz;Ssk;Sku;Sdr;Sdq;Sal;Str;Sk;Spk;Svk;Smrk1;Smrk2;Sxp;Vmp;Vmc;Vvv;Vvc
Sa;0.0;4.999750012499375e-05;0.0034498275086245686;0.00119994000299985;0.00024998750062496874;0.2033898305084746;0.1671416429178541;0.09179541022948852;0.03899805009749512;0.05544722763861807;0.31383430828458575;4.999750012499375e-05;0.018849057547122645;0.0015999200039998;0.16964151792410379;0.08299585020748962;0.00044997750112494374;0.0073496325183740815;4.999750012499375e-05;4.999750012499375e-05;4.999750012499375e-05
Sq;4.999750012499375e-05;0.0;0.0033498325083745812;0.00034998250087495624;4.999750012499375e-05;0.10429478526073696;0.08769561521923903;0.08714564271786411;0.03904804759762012;0.11579421028948553;0.2095895205239738;4.999750012499375e-05;0.02519874006299685;0.0005499725013749313;0.14199290035498224;0.0359982000899955;0.0018499075046247689;0.009149542522873857;4.999750012499375e-05;4.999750012499375e-05;0.00014999250037498125
Sp;0.003399830008499575;0.0032998350082495873;0.0;0.01064946752662367;0.00014999250037498125;0.8270586470676466;0.010349482525873706;0.0066996650167491624;0.01134943252837358;0.9438528073596321;0.023998800059997;0.04954752262386881;4.999750012499375e-05;0.05874706264686766;0.9528523573821309;0.3328333583320834;0.0013499325033748313;4.999750012499375e-05;0.02069896505174741;0.017949102544872756;0.021248937553122346
Sv;0.000999950002499875;0.00024998750062496874;0.010549472526373681;0.0;9.99950002499875e-05;0.010949452527373631;0.008199590020498975;0.1974401279936003;0.1191440427978601;0.535573221338933;0.13934303284835758;0.020548972551372433;0.10349482525873706;9.99950002499875e-05;0.07954602269886506;0.006199690015499225;0.07069646517674116;0.04884755762211889;0.004949752512374382;9.99950002499875e-05;0.05859707014649267
Sz;0.00034998250087495624;0.00024998750062496874;9.99950002499875e-05;4.999750012499375e-05;0.0;0.09784510774461277;0.0014999250037498126;0.05034748262586871;0.04224788760561972;0.48772561371931406;0.03584820758962052;0.0119994000299985;0.010549472526373681;0.0012999350032498376;0.32748362581870905;0.02384880755962202;0.011899405029748513;0.0033498325083745812;0.0024998750062496873;0.00024998750062496874;0.016049197540122993
Ssk;0.20353982300884957;0.103994800259987;0.8313584320783961;0.009299535023248838;0.1031448427578621;0.0;0.05264736763161842;0.7343632818359082;0.8393080345982701;0.9190040497975102;0.06419679016049197;0.4503274836258187;0.43477826108694567;0.000599970001499925;0.002849857507124644;4.999750012499375e-05;0.6331183440827959;0.5719214039298035;0.2496875156242188;0.00599970001499925;0.9694015299235038
Sku;0.1719914004299785;0.0912454377281136;0.010949452527373631;0.008749562521873906;0.0009499525023748813;0.051347432628368585;0.0;0.2748362581870906;0.3666316684165792;0.3705314734263287;0.0018499075046247689;0.7176641167941603;0.11504424778761062;0.013349332533373332;0.5765711714414279;0.005499725013749313;0.5237238138093095;0.1080445977701115;0.34198290085495725;0.02624868756562172;0.7091145442727863
Sdr;0.09344532773361332;0.09004549772511375;0.007149642517874106;0.19649017549122544;0.049897505124743766;0.7327633618319084;0.26548672566371684;0.0;4.999750012499375e-05;0.4976251187440628;0.1968401579921004;0.175791210439478;0.002199890005499725;0.5561721913904305;0.4410279486025699;0.9331033448327584;0.005149742512874356;0.004749762511874406;0.19819009049547523;0.3576821158942053;0.046947652617369134
Sdq;0.037098145092745366;0.040347982600869955;0.010749462526873657;0.12054397280135994;0.0367981600919954;0.8392580370981451;0.3615819209039548;4.999750012499375e-05;0.0;0.9769511524423778;0.5955702214889256;0.06694665266736663;0.0009499525023748813;0.48357582120893955;0.3390830458477076;0.960201989900505;0.0006999650017499125;0.0014999250037498126;0.07869606519674016;0.2864856757162142;0.006899655017249137
Sal;0.059947002649867506;0.1151442427878606;0.9455527223638818;0.5322733863306834;0.4854257287135643;0.9180040997950103;0.3792810359482026;0.4950752462376881;0.9761011949402529;0.0;0.10164491775411229;0.02384880755962202;0.9255537223138843;0.6315184240787961;0.4505274736263187;0.6787660616969151;0.22128893555322235;0.8734063296835158;0.02589870506474676;0.3152342382880856;0.03064846757662117
Str;0.3226338683065847;0.20548972551372433;0.024198790060496977;0.14519274036298185;0.03529823508824559;0.06529673516324183;0.0022498875056247186;0.19429028548572572;0.5877706114694266;0.10289485525723714;0.0;0.9628518574071296;0.27643617819109045;0.02439878006099695;0.17019149042547874;0.010949452527373631;0.8085095745212739;0.24988750562471876;0.5852707364631768;0.0583970801459927;0.8253587320633968
