;Sa;Sq;Sp;Sv;Sz;Ssk;Sku;Sdr;Sdq;Sal;Str;Sk;Spk;Svk;Smrk1;Smrk2;Sxp;Vmp;Vmc;Vvv;Vvc
Sa;0.0;4.999750012499375e-05;4.999750012499375e-05;4.999750012499375e-05;4.999750012499375e-05;0.017899105044747763;0.00044997750112494374;4.999750012499375e-05;4.999750012499375e-05;0.008299585020748963;0.07314634268286585;4.999750012499375e-05;9.99950002499875e-05;0.00014999250037498125;0.08369581520923954;0.0024998750062496873;4.999750012499375e-05;4.999750012499375e-05;4.999750012499375e-05;4.999750012499375e-05;4.999750012499375e-05
Sq;4.999750012499375e-05;0.0;4.999750012499375e-05;4.999750012499375e-05;4.999750012499375e-05;0.01894905254737263;0.0009499525023748813;4.999750012499375e-05;9.99950002499875e-05;0.010349482525873706;0.06769661516924154;4.999750012499375e-05;9.99950002499875e-05;0.00024998750062496874;0.09954502274886255;0.004149792510374482;4.999750012499375e-05;4.999750012499375e-05;4.999750012499375e-05;4.999750012499375e-05;4.999750012499375e-05
Sp;4.999750012499375e-05;4.999750012499375e-05;0.0;9.99950002499875e-05;4.999750012499375e-05;0.16364181790910454;0.0032998350082495873;4.999750012499375e-05;4.999750012499375e-05;0.09339533023348832;0.36788160591970404;4.999750012499375e-05;4.999750012499375e-05;0.0011499425028748563;0.5481725913704315;0.04339783010849457;4.999750012499375e-05;4.999750012499375e-05;4.999750012499375e-05;0.00034998250087495624;4.999750012499375e-05
Sv;4.999750012499375e-05;4.999750012499375e-05;0.0002999850007499625;0.0;4.999750012499375e-05;0.001399930003499825;4.999750012499375e-05;9.99950002499875e-05;4.999750012499375e-05;0.004249787510624469;0.0271986400679966;4.999750012499375e-05;0.00199990000499975;4.999750012499375e-05;0.013749312534373281;0.000199990000499975;0.000199990000499975;0.0010999450027498626;4.999750012499375e-05;4.999750012499375e-05;9.99950002499875e-05
Sz;4.999750012499375e-05;4.999750012499375e-05;4.999750012499375e-05;4.999750012499375e-05;0.0;0.01079946002699865;4.999750012499375e-05;4.999750012499375e-05;4.999750012499375e-05;0.006199690015499225;0.0767461626918654;4.999750012499375e-05;0.00024998750062496874;4.999750012499375e-05;0.058447077646117694;0.0010999450027498626;4.999750012499375e-05;9.99950002499875e-05;4.999750012499375e-05;4.999750012499375e-05;4.999750012499375e-05
Ssk;0.01664916754162292;0.01749912504374781;0.16529173541322933;0.0015999200039998;0.010499475026248688;0.0;0.002449877506124694;0.10164491775411229;0.10489475526223689;0.000199990000499975;0.0031998400079996;0.019799010049497526;0.3738313084345783;0.00014999250037498125;4.999750012499375e-05;4.999750012499375e-05;0.1456427178641068;0.3214839258037098;0.012749362531873407;0.0015499225038748063;0.05264736763161842
Sku;0.000999950002499875;0.0010499475026248687;0.0038998050097495125;9.99950002499875e-05;4.999750012499375e-05;0.0014499275036248187;0.0;0.0006999650017499125;0.0008999550022498875;0.0022498875056247186;0.03054847257637118;0.0016499175041247937;0.006899655017249137;0.000199990000499975;0.01784910754462277;0.0010999450027498626;0.005149742512874356;0.008449577521123944;0.0015499225038748063;4.999750012499375e-05;0.0026998650067496625
Sdr;4.999750012499375e-05;4.999750012499375e-05;4.999750012499375e-05;9.99950002499875e-05;4.999750012499375e-05;0.09854507274636268;0.00034998250087495624;0.0;4.999750012499375e-05;0.03189840507974601;0.27053647317634116;9.99950002499875e-05;4.999750012499375e-05;0.000199990000499975;0.2280885955702215;0.0127993600319984;9.99950002499875e-05;4.999750012499375e-05;4.999750012499375e-05;9.99950002499875e-05;4.999750012499375e-05
Sdq;4.999750012499375e-05;4.999750012499375e-05;4.999750012499375e-05;4.999750012499375e-05;4.999750012499375e-05;0.10514474276286186;0.0007499625018749063;4.999750012499375e-05;0.0;0.03189840507974601;0.2673366331683416;4.999750012499375e-05;4.999750012499375e-05;0.00034998250087495624;0.2312884355782211;0.014199290035498226;4.999750012499375e-05;9.99950002499875e-05;4.999750012499375e-05;0.000199990000499975;4.999750012499375e-05
Sal;0.007999600019999;0.009899505024748763;0.08774561271936403;0.004149792510374482;0.006049697515124244;0.000199990000499975;0.0031498425078746064;0.03369831508424579;0.031998400079996;0.0;0.0016999150042497876;0.011749412529373532;0.23388830558472076;0.0039998000099995;0.000199990000499975;0.0002999850007499625;0.08739563021848908;0.20388980550972452;0.006549672516374182;0.0025498725063746812;0.03859807009649518
