;Sku;Str;Ssk;Smrk2;Smrk1;Sdr;Sdq;Sp;Spk;Vmp;Sv;Sz;Svk;Vvv;Sa;Sq;Sk;Sxp;Vmc;Vvc;Sal
Sku;0.0;0.008265544169600032;0.1014307082810997;0.01893347955553042;0.665274428586263;0.36975539758043946;0.45828958552072396;0.030611145499063075;0.18283296361497714;0.17453358101325703;0.02541177288961639;0.0071587329724422865;0.035485567493777216;0.058023414618742754;0.25071246437678113;0.14851676771000158;0.7932077080356509;0.6178764095503091;0.43525096472449104;0.7879050491919848;0.46042372437591134
Str;0.008265544169600032;0.0;0.1182572450324852;0.030658467076646167;0.25169164077007417;0.2850679383839027;0.6797268832210563;0.05630487706383912;0.36975539758043946;0.34075568948825286;0.21359151020551162;0.07559622018899055;0.05630487706383912;0.10917595713134698;0.41117509341924213;0.29645162037200157;0.9815480099781418;0.8797254437796245;0.6716221565970881;0.8835015102036775;0.16807427345168174
Ssk;0.1014307082810997;0.1182572450324852;0.0;0.0004999750012499375;0.011734707382277946;0.8074151266258677;0.8901751882102864;0.8835015102036775;0.5370790284015211;0.6635552200290538;0.030658467076646167;0.16307517957435463;0.0034998250087495625;0.020321564566932942;0.29055690072639223;0.1697822085639904;0.5468830604712539;0.7148110336418663;0.34075568948825286;0.9834508274586271;0.9649542522873857
Smrk2;0.01893347955553042;0.030658467076646167;0.0004999750012499375;0.0;0.02541177288961639;0.9700579327469271;0.9815480099781418;0.4288037131885737;1.0;0.8835015102036775;0.02066563338499742;0.05630487706383912;0.0004999750012499375;0.004144529615624482;0.14404238465762662;0.07559622018899055;0.39132005663867747;1.0;0.17809033212461514;0.8199433778311085;0.7581961327465541
Smrk1;0.665274428586263;0.25169164077007417;0.011734707382277946;0.02541177288961639;0.0;0.5416132702136823;0.4341917050488939;0.9808774267168994;0.34655041441476314;0.5602737104524084;0.13920553972301386;0.42451581124647464;0.01639391714624795;0.058023414618742754;0.25169164077007417;0.2160761527141034;0.29645162037200157;0.7551761449360687;0.21359151020551162;0.8835015102036775;0.5468830604712539
Sdr;0.36975539758043946;0.2850679383839027;0.8074151266258677;0.9700579327469271;0.5416132702136823;0.0;0.0004999750012499375;0.02198327583620819;0.009624518774061298;0.0171974159912694;0.2850679383839027;0.0978978828836336;0.648867556622169;0.452489423721585;0.15421628918554073;0.14851676771000158;0.2581549244216111;0.018024098795060246;0.2850679383839027;0.09389530523473827;0.5904026832556677
Sdq;0.45828958552072396;0.6797268832210563;0.8901751882102864;0.9815480099781418;0.4341917050488939;0.0004999750012499375;0.0;0.03136027409155858;0.005115128858941669;0.0071587329724422865;0.18671827602649718;0.08613646987553536;0.5802909854507274;0.38077210063547456;0.08039303917157085;0.08039303917157085;0.12119652638057751;0.00397277433425626;0.13887540917071794;0.022291193132651058;0.9863449135235546
Sp;0.030611145499063075;0.05630487706383912;0.8835015102036775;0.4288037131885737;0.9808774267168994;0.02198327583620819;0.03136027409155858;0.0;0.0004999750012499375;0.0004999750012499375;0.03063545452864343;0.0011249437528123593;0.10917595713134698;0.04653471030152196;0.013172068669293806;0.013027126421456705;0.0972428014113313;0.006749662516874156;0.051747412629368536;0.052497375131243446;0.9763994558892746
Spk;0.18283296361497714;0.36975539758043946;0.5370790284015211;1.0;0.34655041441476314;0.009624518774061298;0.005115128858941669;0.0004999750012499375;0.0;0.0004999750012499375;0.1697822085639904;0.03063545452864343;0.45828958552072396;0.2438295351419479;0.048271976645070186;0.05751886318727542;0.1204244135619306;0.0008076519250960529;0.09267805840477207;0.02541177288961639;0.9669964262980881
Vmp;0.17453358101325703;0.34075568948825286;0.6635552200290538;0.8835015102036775;0.5602737104524084;0.0171974159912694;0.0071587329724422865;0.0004999750012499375;0.0004999750012499375;0.0;0.09677346321363177;0.013027126421456705;0.31004741153670795;0.14851676771000158;0.023385194376644807;0.02744862756862157;0.06985365017463413;0.0004999750012499375;0.053596157401432254;0.013027126421456705;0.9216850715253182
