;Sa;Sq;Sp;Sv;Sz;Sku;Sdr;Sdq;Sk;Spk;Svk;Sxp;Vmp;Vmc;Vvv;Vvc;Ssk;Sal;Smrk1;Smrk2;Str
Sa;0.0;0.000129623148472206;0.000129623148472206;0.000129623148472206;0.000129623148472206;0.0008513087859120558;0.000129623148472206;0.000129623148472206;0.000129623148472206;0.00022339308566486567;0.00032810859457027146;0.000129623148472206;0.000129623148472206;0.000129623148472206;0.000129623148472206;0.000129623148472206;0.02320254357652488;0.011697401707095854;0.09657209447219947;0.003977073873579048;0.08581414504693759
Sq;0.000129623148472206;0.0;0.000129623148472206;0.000129623148472206;0.000129623148472206;0.0017346958739019572;0.000129623148472206;0.00022339308566486567;0.000129623148472206;0.00022339308566486567;0.0004952582559551268;0.000129623148472206;0.000129623148472206;0.000129623148472206;0.000129623148472206;0.000129623148472206;0.0244128897849586;0.01411293071710051;0.11238954181323192;0.0062246887655617224;0.07986679317719508
Sp;0.000129623148472206;0.000129623148472206;0.0;0.00022339308566486567;0.000129623148472206;0.0050214880560319804;0.000129623148472206;0.000129623148472206;0.000129623148472206;0.000129623148472206;0.002029310299190923;0.000129623148472206;0.000129623148472206;0.000129623148472206;0.0006742782126948699;0.000129623148472206;0.17805586404617593;0.10601632080558133;0.5588167193582069;0.05267944695250787;0.3805671785376249
Sv;0.000129623148472206;0.000129623148472206;0.00022339308566486567;0.0;0.000129623148472206;0.000129623148472206;0.00022339308566486567;0.000129623148472206;0.000129623148472206;0.003281085945702715;0.000129623148472206;0.00040382596254802644;0.001957529242181959;0.000129623148472206;0.000129623148472206;0.00022339308566486567;0.0024296305845864733;0.006329470760504528;0.018159469385021314;0.00040382596254802644;0.03440791815830895
Sz;0.000129623148472206;0.000129623148472206;0.000129623148472206;0.000129623148472206;0.0;0.000129623148472206;0.000129623148472206;0.000129623148472206;0.000129623148472206;0.0004952582559551268;0.000129623148472206;0.000129623148472206;0.00022339308566486567;0.000129623148472206;0.000129623148472206;0.000129623148472206;0.014631526488191719;0.008978861401757498;0.06973799037320862;0.001957529242181959;0.08953718980717632
Sku;0.0008513087859120558;0.0017346958739019572;0.0050214880560319804;0.000129623148472206;0.000129623148472206;0.0;0.001312434378281086;0.0016578118462497928;0.002749862506874656;0.009856650024641624;0.00040382596254802644;0.007562558934990313;0.011829408529573522;0.0026038698065096746;0.000129623148472206;0.00423113172699574;0.003927284551802944;0.003634433662932238;0.02320254357652488;0.001957529242181959;0.03818559072046398
Sdr;0.000129623148472206;0.000129623148472206;0.000129623148472206;0.00022339308566486567;0.000129623148472206;0.001312434378281086;0.0;0.000129623148472206;0.00022339308566486567;0.000129623148472206;0.00040382596254802644;0.00022339308566486567;0.000129623148472206;0.000129623148472206;0.00022339308566486567;0.000129623148472206;0.11353953578916798;0.03940391215733331;0.2456338721525462;0.017011807637466226;0.2826500466021475
Sdq;0.000129623148472206;0.00022339308566486567;0.000129623148472206;0.000129623148472206;0.000129623148472206;0.0016578118462497928;0.000129623148472206;0.0;0.000129623148472206;0.000129623148472206;0.0006742782126948699;0.000129623148472206;0.00022339308566486567;0.000129623148472206;0.00040382596254802644;0.000129623148472206;0.1165497280691521;0.03940391215733331;0.24780903811952262;0.01863656817159142;0.2821140350017675
Sk;0.000129623148472206;0.000129623148472206;0.000129623148472206;0.000129623148472206;0.000129623148472206;0.002749862506874656;0.00022339308566486567;0.000129623148472206;0.0;0.00022339308566486567;0.000129623148472206;0.000129623148472206;0.000129623148472206;0.000129623148472206;0.000129623148472206;0.000129623148472206;0.025198740062996855;0.01581651686646437;0.10042976112063962;0.004632121335109715;0.0950173485800848
Spk;0.00022339308566486567;0.00022339308566486567;0.000129623148472206;0.003281085945702715;0.0004952582559551268;0.009856650024641624;0.000129623148472206;0.000129623148472206;0.00022339308566486567;0.0;0.011634553407464762;0.000129623148472206;0.000129623148472206;0.00040382596254802644;0.004433111677749446;0.000129623148472206;0.38482634691794826;0.24932255925274802;0.8740562971851408;0.14925832655735635;0.5803115641319384
Svk;0.00032810859457027146;0.0004952582559551268;0.002029310299190923;0.000129623148472206;0.000129623148472206;0.00040382596254802644;0.00040382596254802644;0.0006742782126948699;0.000129623148472206;0.011634553407464762;0.0;0.0025818381212086936;0.008822475542889523;0.000129623148472206;0.000129623148472206;0.0013937356229533657;0.00032810859457027146;0.006042863324459676;0.0073200565323846495;0.000129623148472206;0.02490424259274841
Sxp;0.000129623148472206;0.000129623148472206;0.000129623148472206;0.00040382596254802644;0.000129623148472206;0.007562558934990313;0.00022339308566486567;0.000129623148472206;0.000129623148472206;0.000129623148472206;0.0025818381212086936;0.0;0.000129623148472206;0.000129623148472206;0.0007635981837271772;0.000129623148472206;0.1592967226638668;0.10029006746383992;0.4991091908819193;0.04865163718558258;0.2826458677066147
Vmp;0.000129623148472206;0.000129623148472206;0.000129623148472206;0.001957529242181959;0.00022339308566486567;0.011829408529573522;0.000129623148472206;0.00022339308566486567;0.000129623148472206;0.000129623148472206;0.008822475542889523;0.000129623148472206;0.0;0.000129623148472206;0.003418433729476317;0.000129623148472206;0.33421596246920326;0.22070545957238222;0.7624427391070637;0.11324834827777328;0.5962490337021611
Vmc;0.000129623148472206;0.000129623148472206;0.000129623148472206;0.000129623148472206;0.000129623148472206;0.0026038698065096746;0.000129623148472206;0.000129623148472206;0.000129623148472206;0.00040382596254802644;0.000129623148472206;0.000129623148472206;0.000129623148472206;0.0;0.000129623148472206;0.000129623148472206;0.017011807637466226;0.009420761838620399;0.06365681715914205;0.0026038698065096746;0.07509794001825332
Vvv;0.000129623148472206;0.000129623148472206;0.0006742782126948699;0.000129623148472206;0.000129623148472206;0.000129623148472206;0.00022339308566486567;0.00040382596254802644;0.000129623148472206;0.004433111677749446;0.000129623148472206;0.0007635981837271772;0.003418433729476317;0.000129623148472206;0.0;0.000129623148472206;0.0026038698065096746;0.004026114483749497;0.012157286872498481;0.00022339308566486567;0.03501920712347616
Vvc;0.000129623148472206;0.000129623148472206;0.000129623148472206;0.00022339308566486567;0.000129623148472206;0.00423113172699574;0.000129623148472206;0.000129623148472206;0.000129623148472206;0.000129623148472206;0.0013937356229533657;0.000129623148472206;0.000129623148472206;0.000129623148472206;0.000129623148472206;0.0;0.06353992645195326;0.04740113871499407;0.2559644745035476;0.013793427975660043;0.15754709646716616
Ssk;0.02320254357652488;0.0244128897849586;0.17805586404617593;0.0024296305845864733;0.014631526488191719;0.003927284551802944;0.11353953578916798;0.1165497280691521;0.025198740062996855;0.38482634691794826;0.00032810859457027146;0.1592967226638668;0.33421596246920326;0.017011807637466226;0.0026038698065096746;0.06353992645195326;0.0;0.00040382596254802644;0.000129623148472206;0.000129623148472206;0.0049048642458388025
Sal;0.011697401707095854;0.01411293071710051;0.10601632080558133;0.006329470760504528;0.008978861401757498;0.003634433662932238;0.03940391215733331;0.03940391215733331;0.01581651686646437;0.24932255925274802;0.006042863324459676;0.10029006746383992;0.22070545957238222;0.009420761838620399;0.004026114483749497;0.04740113871499407;0.00040382596254802644;0.0;0.00040382596254802644;0.0005887556089485245;0.0028108830778933495
Smrk1;0.09657209447219947;0.11238954181323192;0.5588167193582069;0.018159469385021314;0.06973799037320862;0.02320254357652488;0.2456338721525462;0.24780903811952262;0.10042976112063962;0.8740562971851408;0.0073200565323846495;0.4991091908819193;0.7624427391070637;0.06365681715914205;0.012157286872498481;0.2559644745035476;0.000129623148472206;0.00040382596254802644;0.0;0.000129623148472206;0.002187390630468476
Smrk2;0.003977073873579048;0.0062246887655617224;0.05267944695250787;0.00040382596254802644;0.001957529242181959;0.001957529242181959;0.017011807637466226;0.01863656817159142;0.004632121335109715;0.14925832655735635;0.000129623148472206;0.04865163718558258;0.11324834827777328;0.0026038698065096746;0.00022339308566486567;0.013793427975660043;0.000129623148472206;0.0005887556089485245;0.000129623148472206;0.0;0.012098732811703787
Str;0.08581414504693759;0.07986679317719508;0.3805671785376249;0.03440791815830895;0.08953718980717632;0.03818559072046398;0.2826500466021475;0.2821140350017675;0.0950173485800848;0.5803115641319384;0.02490424259274841;0.2826458677066147;0.5962490337021611;0.07509794001825332;0.03501920712347616;0.15754709646716616;0.0049048642458388025;0.0028108830778933495;0.002187390630468476;0.012098732811703787;0.0
