;Sku;Str;Ssk;Smrk2;Smrk1;Sdr;Sdq;Sp;Spk;Vmp;Sv;Sz;Svk;Vvv;Sa;Sq;Sk;Sxp;Vmc;Vvc;Sal
Sku;1.0;0.7264705882352942;-0.5;-0.6794117647058824;-0.14999999999999997;0.29411764705882354;0.24411764705882355;0.6264705882352942;0.40882352941176475;0.4176470588235294;0.65;0.75;0.6176470588235294;0.5647058823529412;0.3588235294117647;0.438235294117647;0.1;0.17058823529411762;0.2529411764705883;0.1;-0.2382352941176471
Str;0.7264705882352942;1.0;-0.47647058823529415;-0.6264705882352941;-0.36470588235294116;0.34411764705882353;0.14411764705882354;0.5676470588235295;0.2911764705882353;0.3058823529411765;0.3852941176470589;0.5323529411764706;0.5617647058823529;0.488235294117647;0.26470588235294124;0.33235294117647063;0.014705882352941183;0.06470588235294121;0.1470588235294118;-0.05882352941176468;-0.42647058823529416
Ssk;-0.5;-0.47647058823529415;1.0;0.8676470588235294;0.7176470588235294;-0.09117647058823528;-0.05588235294117645;-0.05882352941176473;0.2088235294117647;0.15;-0.6323529411764706;-0.4294117647058823;-0.7941176470588236;-0.6617647058823529;-0.338235294117647;-0.42352941176470593;-0.2;0.12941176470588237;-0.30588235294117644;-0.011764705882352929;0.029411764705882366
Smrk2;-0.6794117647058824;-0.6264705882352941;0.8676470588235294;1.0;0.6470588235294117;-0.023529411764705896;0.01470588235294119;-0.25882352941176473;-1.4802973661668754e-17;-0.05882352941176472;-0.6794117647058824;-0.5588235294117647;-0.8941176470588235;-0.7764705882352941;-0.45;-0.5294117647058824;-0.27941176470588236;0.0;-0.41764705882352937;-0.08823529411764706;0.11470588235294116
Smrk1;-0.14999999999999997;-0.36470588235294116;0.7176470588235294;0.6470588235294117;1.0;0.20294117647058824;0.2558823529411765;0.017647058823529394;0.3029411764705882;0.19705882352941176;-0.45588235294117646;-0.2647058823529412;-0.688235294117647;-0.5647058823529412;-0.3617647058823529;-0.38529411764705884;-0.3352941176470588;0.11764705882352942;-0.38823529411764696;-0.06176470588235294;-0.20294117647058815
Sdr;0.29411764705882354;0.34411764705882353;-0.09117647058823528;-0.023529411764705896;0.20294117647058824;1.0;0.9441176470588235;0.6588235294117647;0.7117647058823529;0.6941176470588235;0.34117647058823525;0.5029411764705882;0.1588235294117647;0.24705882352941178;0.4382352941176471;0.4411764705882354;0.3558823529411765;0.6735294117647059;0.33823529411764713;0.5088235294117648;-0.18235294117647055
Sdq;0.24411764705882355;0.14411764705882354;-0.05588235294117645;0.01470588235294119;0.2558823529411765;0.9441176470588235;1.0;0.6294117647058823;0.7529411764705881;0.7411764705882352;0.40882352941176475;0.5264705882352941;0.18529411764705886;0.2794117647058823;0.5294117647058824;0.5205882352941177;0.4735294117647058;0.7823529411764706;0.45;0.6529411764705881;-0.008823529411764711
Sp;0.6264705882352942;0.5676470588235295;-0.05882352941176473;-0.25882352941176473;0.017647058823529394;0.6588235294117647;0.6294117647058823;1.0;0.8941176470588236;0.923529411764706;0.6294117647058823;0.8529411764705884;0.4852941176470588;0.5941176470588235;0.6882352941176471;0.6941176470588235;0.5;0.7558823529411766;0.5823529411764705;0.5823529411764706;0.020588235294117647
Spk;0.40882352941176475;0.2911764705882353;0.2088235294117647;-1.4802973661668754e-17;0.3029411764705882;0.7117647058823529;0.7529411764705881;0.8941176470588236;1.0;0.9852941176470588;0.4294117647058824;0.6352941176470588;0.2411764705882353;0.3705882352941176;0.5882352941176471;0.5647058823529413;0.4735294117647059;0.8617647058823529;0.5088235294117648;0.6470588235294117;-0.02647058823529414
Vmp;0.4176470588235294;0.3058823529411765;0.15;-0.05882352941176472;0.19705882352941176;0.6941176470588235;0.7411764705882352;0.923529411764706;0.9852941176470588;1.0;0.5058823529411766;0.7029411764705884;0.3205882352941176;0.438235294117647;0.6558823529411765;0.6323529411764707;0.5411764705882353;0.8852941176470588;0.5794117647058824;0.6911764705882353;0.04411764705882353
Sv;0.65;0.3852941176470589;-0.6323529411764706;-0.6794117647058824;-0.45588235294117646;0.34117647058823525;0.40882352941176475;0.6294117647058823;0.4294117647058824;0.5058823529411766;1.0;0.8941176470588236;0.8705882352941177;0.8676470588235294;0.7470588235294119;0.8058823529411765;0.5794117647058824;0.4647058823529412;0.6764705882352942;0.488235294117647;0.16764705882352937
Sz;0.75;0.5323529411764706;-0.4294117647058823;-0.5588235294117647;-0.2647058823529412;0.5029411764705882;0.5264705882352941;0.8529411764705884;0.6352941176470588;0.7029411764705884;0.8941176470588236;1.0;0.7588235294117648;0.8294117647058823;0.8176470588235295;0.861764705882353;0.6235294117647059;0.6235294117647059;0.7235294117647059;0.5970588235294119;0.1852941176470588
Svk;0.6176470588235294;0.5617647058823529;-0.7941176470588236;-0.8941176470588235;-0.688235294117647;0.1588235294117647;0.18529411764705886;0.4852941176470588;0.2411764705882353;0.3205882352941176;0.8705882352941177;0.7588235294117648;1.0;0.9470588235294118;0.7352941176470588;0.7941176470588235;0.5647058823529412;0.31470588235294117;0.6941176470588235;0.3941176470588236;0.12941176470588234
Vvv;0.5647058823529412;0.488235294117647;-0.6617647058823529;-0.7764705882352941;-0.5647058823529412;0.24705882352941178;0.2794117647058823;0.5941176470588235;0.3705882352941176;0.438235294117647;0.8676470588235294;0.8294117647058823;0.9470588235294118;1.0;0.8676470588235294;0.9117647058823529;0.711764705882353;0.47058823529411764;0.8264705882352942;0.5529411764705883;0.2676470588235294
Sa;0.3588235294117647;0.26470588235294124;-0.338235294117647;-0.45;-0.3617647058823529;0.4382352941176471;0.5294117647058824;0.6882352941176471;0.5882352941176471;0.6558823529411765;0.7470588235294119;0.8176470588235295;0.7352941176470588;0.8676470588235294;0.9999999999999999;0.985294117647059;0.9352941176470588;0.8;0.9823529411764705;0.8764705882352941;0.488235294117647
Sq;0.438235294117647;0.33235294117647063;-0.42352941176470593;-0.5294117647058824;-0.38529411764705884;0.4411764705882354;0.5205882352941177;0.6941176470588235;0.5647058823529413;0.6323529411764707;0.8058823529411765;0.861764705882353;0.7941176470588235;0.9117647058823529;0.985294117647059;1.0;0.8852941176470588;0.7411764705882352;0.95;0.8088235294117647;0.4117647058823529
Sk;0.1;0.014705882352941183;-0.2;-0.27941176470588236;-0.3352941176470588;0.3558823529411765;0.4735294117647058;0.5;0.4735294117647059;0.5411764705882353;0.5794117647058824;0.6235294117647059;0.5647058823529412;0.711764705882353;0.9352941176470588;0.8852941176470588;1.0;0.8029411764705882;0.9735294117647059;0.9352941176470589;0.5647058823529412
Sxp;0.17058823529411762;0.06470588235294121;0.12941176470588237;0.0;0.11764705882352942;0.6735294117647059;0.7823529411764706;0.7558823529411766;0.8617647058823529;0.8852941176470588;0.4647058823529412;0.6235294117647059;0.31470588235294117;0.47058823529411764;0.8;0.7411764705882352;0.8029411764705882;1.0;0.7823529411764706;0.9323529411764705;0.3235294117647059
