;Sa;Sq;Sp;Sv;Sz;Sku;Sdr;Sdq;Sk;Spk;Svk;Sxp;Vmp;Vmc;Vvv;Vvc;Ssk;Sal;Smrk1;Smrk2;Str
Sa;1.0;0.9970588235294117;0.9382352941176471;0.9205882352941176;0.9588235294117647;0.7676470588235295;0.8941176470588236;0.8941176470588236;0.9941176470588234;0.8588235294117648;0.8588235294117648;0.9470588235294118;0.8911764705882353;0.9941176470588236;0.9176470588235295;0.9735294117647058;-0.5882352941176471;-0.6441176470588235;-0.45;-0.7147058823529412;-0.4647058823529412
Sq;0.9970588235294117;1.0000000000000002;0.9441176470588234;0.9176470588235295;0.9558823529411764;0.7617647058823529;0.8852941176470588;0.8852941176470588;0.9970588235294119;0.8705882352941177;0.8558823529411764;0.9558823529411764;0.9;0.9911764705882352;0.914705882352941;0.9764705882352942;-0.5852941176470589;-0.6382352941176471;-0.4323529411764706;-0.7058823529411764;-0.47058823529411764
Sp;0.9382352941176471;0.9441176470588234;1.0;0.8323529411764706;0.9058823529411766;0.6941176470588235;0.9264705882352942;0.9264705882352942;0.9352941176470588;0.9647058823529412;0.7470588235294119;0.9852941176470588;0.9735294117647058;0.911764705882353;0.8088235294117646;0.9647058823529413;-0.36470588235294116;-0.43823529411764706;-0.16176470588235295;-0.5176470588235295;-0.24117647058823533
Sv;0.9205882352941176;0.9176470588235295;0.8323529411764706;1.0;0.9764705882352942;0.8676470588235294;0.8823529411764706;0.8823529411764706;0.9088235294117647;0.7470588235294119;0.976470588235294;0.8176470588235295;0.7647058823529413;0.9147058823529413;0.9882352941176471;0.8558823529411764;-0.7382352941176471;-0.7;-0.6029411764705883;-0.8441176470588234;-0.5588235294117647
Sz;0.9588235294117647;0.9558823529411764;0.9058823529411766;0.9764705882352942;1.0;0.8588235294117648;0.9294117647058823;0.9294117647058823;0.95;0.8470588235294118;0.9176470588235295;0.8911764705882352;0.8647058823529412;0.95;0.9558823529411765;0.911764705882353;-0.6323529411764706;-0.6588235294117647;-0.4882352941176471;-0.7529411764705883;-0.45882352941176474
Sku;0.7676470588235295;0.7617647058823529;0.6941176470588235;0.8676470588235294;0.8588235294117648;1.0;0.7794117647058824;0.7794117647058824;0.75;0.6470588235294117;0.85;0.6794117647058824;0.6441176470588236;0.7529411764705883;0.8441176470588235;0.7176470588235294;-0.7294117647058823;-0.7058823529411763;-0.585294117647059;-0.7558823529411764;-0.5470588235294118
Sdr;0.8941176470588236;0.8852941176470588;0.9264705882352942;0.8823529411764706;0.9294117647058823;0.7794117647058824;1.0;1.0;0.8735294117647059;0.8911764705882352;0.811764705882353;0.8823529411764706;0.8823529411764707;0.8676470588235294;0.85;0.8794117647058823;-0.4264705882352941;-0.5411764705882353;-0.3176470588235294;-0.6088235294117648;-0.29411764705882354
Sdq;0.8941176470588236;0.8852941176470588;0.9264705882352942;0.8823529411764706;0.9294117647058823;0.7794117647058824;1.0;1.0;0.8735294117647059;0.8911764705882352;0.811764705882353;0.8823529411764706;0.8823529411764707;0.8676470588235294;0.85;0.8794117647058823;-0.4264705882352941;-0.5411764705882353;-0.3176470588235294;-0.6088235294117648;-0.29411764705882354
Sk;0.9941176470588234;0.9970588235294119;0.9352941176470588;0.9088235294117647;0.95;0.75;0.8735294117647059;0.8735294117647059;1.0000000000000002;0.8676470588235294;0.85;0.9529411764705882;0.9029411764705881;0.9941176470588234;0.9117647058823529;0.9735294117647059;-0.5794117647058824;-0.6235294117647059;-0.44117647058823534;-0.7029411764705882;-0.4529411764705883
Spk;0.8588235294117648;0.8705882352941177;0.9647058823529412;0.7470588235294119;0.8470588235294118;0.6470588235294117;0.8911764705882352;0.8911764705882352;0.8676470588235294;1.0;0.6470588235294117;0.9588235294117647;0.985294117647059;0.8382352941176471;0.7088235294117646;0.9205882352941176;-0.23823529411764705;-0.3176470588235294;-0.04411764705882352;-0.3911764705882353;-0.15000000000000002
Svk;0.8588235294117648;0.8558823529411764;0.7470588235294119;0.976470588235294;0.9176470588235295;0.85;0.811764705882353;0.811764705882353;0.85;0.6470588235294117;1.0;0.7352941176470588;0.6705882352941176;0.8588235294117648;0.9823529411764705;0.788235294117647;-0.8029411764705882;-0.6852941176470589;-0.6852941176470588;-0.9088235294117647;-0.5852941176470589
Sxp;0.9470588235294118;0.9558823529411764;0.9852941176470588;0.8176470588235295;0.8911764705882352;0.6794117647058824;0.8823529411764706;0.8823529411764706;0.9529411764705882;0.9588235294117647;0.7352941176470588;1.0;0.9676470588235294;0.9294117647058824;0.8058823529411765;0.985294117647059;-0.38529411764705884;-0.4411764705882353;-0.18823529411764703;-0.5235294117647059;-0.29411764705882354
Vmp;0.8911764705882353;0.9;0.9735294117647058;0.7647058823529413;0.8647058823529412;0.6441176470588236;0.8823529411764707;0.8823529411764707;0.9029411764705881;0.985294117647059;0.6705882352941176;0.9676470588235294;1.0;0.8764705882352941;0.7382352941176471;0.9352941176470589;-0.2647058823529412;-0.3323529411764706;-0.08235294117647056;-0.42647058823529416;-0.14705882352941177
Vmc;0.9941176470588236;0.9911764705882352;0.911764705882353;0.9147058823529413;0.95;0.7529411764705883;0.8676470588235294;0.8676470588235294;0.9941176470588234;0.8382352941176471;0.8588235294117648;0.9294117647058824;0.8764705882352941;1.0;0.9176470588235295;0.9647058823529413;-0.6147058823529412;-0.6588235294117647;-0.4970588235294118;-0.7382352941176471;-0.47647058823529415
Vvv;0.9176470588235295;0.914705882352941;0.8088235294117646;0.9882352941176471;0.9558823529411765;0.8441176470588235;0.85;0.85;0.9117647058823529;0.7088235294117646;0.9823529411764705;0.8058823529411765;0.7382352941176471;0.9176470588235295;1.0;0.8470588235294118;-0.7617647058823529;-0.7117647058823529;-0.6470588235294118;-0.8794117647058823;-0.5558823529411766
Vvc;0.9735294117647058;0.9764705882352942;0.9647058823529413;0.8558823529411764;0.911764705882353;0.7176470588235294;0.8794117647058823;0.8794117647058823;0.9735294117647059;0.9205882352941176;0.788235294117647;0.985294117647059;0.9352941176470589;0.9647058823529413;0.8470588235294118;1.0;-0.4970588235294117;-0.5235294117647059;-0.3117647058823529;-0.6235294117647058;-0.38529411764705884
Ssk;-0.5882352941176471;-0.5852941176470589;-0.36470588235294116;-0.7382352941176471;-0.6323529411764706;-0.7294117647058823;-0.4264705882352941;-0.4264705882352941;-0.5794117647058824;-0.23823529411764705;-0.8029411764705882;-0.38529411764705884;-0.2647058823529412;-0.6147058823529412;-0.7617647058823529;-0.4970588235294117;1.0;0.8205882352941177;0.8852941176470588;0.9352941176470589;0.7117647058823529
Sal;-0.6441176470588235;-0.6382352941176471;-0.43823529411764706;-0.7;-0.6588235294117647;-0.7058823529411763;-0.5411764705882353;-0.5411764705882353;-0.6235294117647059;-0.3176470588235294;-0.6852941176470589;-0.4411764705882353;-0.3323529411764706;-0.6588235294117647;-0.7117647058823529;-0.5235294117647059;0.8205882352941177;1.0;0.8235294117647058;0.8058823529411766;0.7352941176470588
Smrk1;-0.45;-0.4323529411764706;-0.16176470588235295;-0.6029411764705883;-0.4882352941176471;-0.585294117647059;-0.3176470588235294;-0.3176470588235294;-0.44117647058823534;-0.04411764705882352;-0.6852941176470588;-0.18823529411764703;-0.08235294117647056;-0.4970588235294118;-0.6470588235294118;-0.3117647058823529;0.8852941176470588;0.8235294117647058;1.0;0.8676470588235293;0.7382352941176471
